info string nn.bin not found — using HCE
info string loaded 6525 experience entries
info string datagen: 3000 games, depth 4, random_plies 10, output training_data_large.bin
info string datagen: 1020/3000 games, 85914 positions, 9.0 games/sec
info string datagen: 1030/3000 games, 86606 positions, 9.0 games/sec
info string datagen: 1040/3000 games, 87796 positions, 9.0 games/sec
info string datagen: 1050/3000 games, 88537 positions, 9.0 games/sec
info string datagen: 1060/3000 games, 89397 positions, 9.0 games/sec
info string datagen: 1070/3000 games, 89997 positions, 9.0 games/sec
info string datagen: 1080/3000 games, 90656 positions, 9.0 games/sec
info string datagen: 1090/3000 games, 91445 positions, 9.1 games/sec
info string datagen: 1100/3000 games, 92480 positions, 9.0 games/sec
info string datagen: 1110/3000 games, 93152 positions, 9.0 games/sec
info string datagen: 1120/3000 games, 93889 positions, 9.0 games/sec
info string datagen: 1130/3000 games, 94817 positions, 9.0 games/sec
info string datagen: 1140/3000 games, 95758 positions, 9.0 games/sec
info string datagen: 1150/3000 games, 96358 positions, 9.1 games/sec
info string datagen: 1160/3000 games, 97140 positions, 9.1 games/sec
info string datagen: 1170/3000 games, 97995 positions, 9.1 games/sec
info string datagen: 1180/3000 games, 98765 positions, 9.1 games/sec
info string datagen: 1190/3000 games, 99453 positions, 9.1 games/sec
info string datagen: 1200/3000 games, 100687 positions, 9.1 games/sec
info string datagen: 1210/3000 games, 101436 positions, 9.1 games/sec
info string datagen: 1220/3000 games, 102139 positions, 9.1 games/sec
info string datagen: 1230/3000 games, 102942 positions, 9.0 games/sec
info string datagen: 1240/3000 games, 103814 positions, 9.1 games/sec
info string datagen: 1250/3000 games, 104499 positions, 9.1 games/sec
info string datagen: 1260/3000 games, 105319 positions, 9.1 games/sec
info string datagen: 1270/3000 games, 106080 positions, 9.1 games/sec
info string datagen: 1280/3000 games, 106883 positions, 9.1 games/sec
info string datagen: 1290/3000 games, 107625 positions, 9.1 games/sec
info string datagen: 1300/3000 games, 108489 positions, 9.1 games/sec
info string datagen: 1310/3000 games, 109746 positions, 9.0 games/sec
info string datagen: 1320/3000 games, 110362 positions, 9.0 games/sec
info string datagen: 1330/3000 games, 111333 positions, 9.0 games/sec
info string datagen: 1340/3000 games, 111849 positions, 9.1 games/sec
info string datagen: 1350/3000 games, 112748 positions, 9.1 games/sec
info string datagen: 1360/3000 games, 113538 positions, 9.1 games/sec
info string datagen: 1370/3000 games, 114495 positions, 9.0 games/sec
info string datagen: 1380/3000 games, 115246 positions, 9.0 games/sec
info string datagen: 1390/3000 games, 116240 positions, 9.0 games/sec
info string datagen: 1400/3000 games, 117224 positions, 9.0 games/sec
info string datagen: 1410/3000 games, 118462 positions, 9.0 games/sec
info string datagen: 1420/3000 games, 119215 positions, 9.0 games/sec
info string datagen: 1430/3000 games, 119783 positions, 9.0 games/sec
info string datagen: 1440/3000 games, 120423 positions, 9.0 games/sec
info string datagen: 1450/3000 games, 121446 positions, 9.0 games/sec
info string datagen: 1460/3000 games, 122601 positions, 9.0 games/sec
info string datagen: 1470/3000 games, 123526 positions, 9.0 games/sec
info string datagen: 1480/3000 games, 124240 positions, 9.0 games/sec
info string datagen: 1490/3000 games, 125140 positions, 9.0 games/sec
info string datagen: 1500/3000 games, 126118 positions, 9.0 games/sec
info string datagen: 1510/3000 games, 126893 positions, 9.0 games/sec
info string datagen: 1520/3000 games, 127739 positions, 9.0 games/sec
info string datagen: 1530/3000 games, 128646 positions, 9.0 games/sec
